id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1347847,3 bedroom duplex Brooklyn townhouse,2061760,Lise,Brooklyn,Bedford-Stuyvesant,40.69376,-73.93776,Entire home/apt,225,3,230,2019-07-01,3.31,1,259
1348118,Sweet Deal*Harlem2bdrm Apt #1/Sleeps4,7309232,London,Manhattan,Harlem,40.80862,-73.94516,Entire home/apt,185,3,141,2019-06-25,2.00,3,258
1349187,Light filled Brooklyn apartment with skyline view,1330500,Dayna,Brooklyn,Crown Heights,40.67421,-73.9504,Private room,100,2,8,2018-11-26,0.11,1,156
1349237,"Bright, Very Spacious, & Quiet Room in Manhattan",7320160,Smyles And Diara,Manhattan,Harlem,40.80887,-73.94756,Private room,85,2,146,2019-06-30,2.01,1,129
1349658,"A Comfortable Room in a Great Location, Manhattan",5569141,Jiajia,Manhattan,Morningside Heights,40.80998,-73.95898,Private room,75,2,20,2019-06-07,0.33,1,29
1350055,Cozy room in Beautiful Williamsburg Appartment,2035472,Alessio,Brooklyn,Williamsburg,40.71449,-73.95905,Private room,85,3,2,2019-02-03,0.32,1,89
1351217,English Basement Studio Apartment / private entry,7318649,Stacey & Anthony,Brooklyn,Bedford-Stuyvesant,40.68208,-73.93115,Entire home/apt,98,3,144,2019-06-23,2.87,1,249
1351427,Charming New 3br House+bkyard BRKLN,6414252,Arza,Brooklyn,Kensington,40.64734,-73.97334,Entire home/apt,262,30,1,2015-04-03,0.02,1,16
1352560,XLG Studio Apt w/TONS of Amenities,7341015,Aviva,Queens,Long Island City,40.74318,-73.95108,Entire home/apt,145,2,30,2018-09-03,0.42,1,278
1352657,Spacious 1BR Midtown Manhattan w DM,7341851,Maya,Manhattan,Upper East Side,40.76178,-73.96713,Entire home/apt,280,2,7,2019-04-01,0.11,1,365
1354042,1BR East Village Duplex w/ Terrace,7021990,Tim & MaryAnn,Manhattan,East Village,40.72685,-73.97874,Entire home/apt,210,5,11,2019-06-11,0.18,1,8
1354250,Beautiful Authentic 1BR Apt with skylight near all,1631330,Irina,Brooklyn,Fort Greene,40.68842,-73.97781,Entire home/apt,70,15,2,2016-01-30,0.03,1,0
1354415,Great Flat in Historic Brownstone,7136700,Michelle,Brooklyn,Bedford-Stuyvesant,40.67927,-73.94252,Entire home/apt,100,3,162,2019-07-02,2.24,4,141
1354775,Sunlit Noho Loft,7353062,Tim,Manhattan,NoHo,40.72631,-73.99387,Entire home/apt,250,1,0,,,1,0
1354973,Gorgeous spacious. 2 subways close,306394,Marialuisa,Brooklyn,Bedford-Stuyvesant,40.6842,-73.9177,Private room,59,1,123,2019-06-30,2.23,1,336
1356710,Sunny 1 Bdrm ❤️ Private Bath ❤️ No Cleaning Fee,4783987,Kim,Manhattan,East Village,40.72758,-73.97762,Private room,199,1,141,2019-06-27,4.51,1,130
1357021,MIDTOWN EAST 1BR APARTMENT - NEW,1411399,Carlos,Manhattan,Midtown,40.75639,-73.96558,Entire home/apt,219,1,78,2019-06-22,1.10,5,301
1358963,1 Bedroom in Sunny & Spacious Apt.,6776157,Giovanna,Brooklyn,Prospect Heights,40.67738,-73.96509,Private room,100,1,96,2019-06-28,1.36,2,333
1359438,Perfect in Park Slope: EZ 2 NYC,3599914,Daniel,Brooklyn,Park Slope,40.67274,-73.97339,Entire home/apt,175,30,58,2019-06-30,0.81,1,220
